Voltage,Current,PowerFactor,Temperature,Frequency,FaultType
253,2.183906765474667,0.7698516461607574,64,52,Voltage Fluctuation
223,11.14298806560499,0.9328741225850906,37,51,Overload Fault
140,3.1775108289014113,0.7968529860243956,21,51,Power Factor Issue
256,7.765164755142536,0.964544263289291,32,52,Voltage Fluctuation
114,4.74055220687206,0.954765878465414,64,45,Voltage Fluctuation
144,7.541780025157934,0.885198438746386,73,45,Thermal Overload
164,8.514203883518643,0.9275606996558279,34,52,Normal
188,10.297418037072017,0.8285875282959371,39,48,Overload Fault
170,4.064212717606032,0.8677919747332037,48,49,Normal
108,2.1099582865848046,0.9554092244276179,78,52,Voltage Fluctuation
187,3.3688563006880727,0.8648162992933035,61,49,Normal
228,11.00018641848105,0.8394495663313605,48,54,Overload Fault
235,10.738900775625153,0.873553111812575,22,48,Overload Fault
162,7.974131021703083,0.9570623131093046,38,50,Normal
238,8.005168604336534,0.8338020118427182,22,49,Power Factor Issue
180,8.650366745462556,0.793440398283936,73,51,Power Factor Issue
235,3.753712786234496,0.9280035050826951,33,54,Normal
262,11.144119459249598,0.9564945531770205,59,51,Voltage Fluctuation
262,6.187705248920731,0.7751593696308834,78,48,Voltage Fluctuation
132,5.831385282494974,0.8099685281889861,74,49,Power Factor Issue
222,7.189177052828375,0.7854929974402485,23,47,Power Factor Issue
104,2.4696596677505505,0.8369853528955417,78,48,Voltage Fluctuation
140,3.662833687560794,0.8625877447263531,79,48,Thermal Overload
127,9.380336164263705,0.9372065842408266,71,47,Thermal Overload
234,2.8279866792512647,0.9127868962204185,30,54,Normal
171,8.031521094663882,0.9052321418696078,77,49,Thermal Overload
111,4.4534910968132095,0.8380937366524136,50,49,Voltage Fluctuation
261,5.8929561404197655,0.96036188827119,62,51,Voltage Fluctuation
132,4.886937367706999,0.8678217918495411,51,48,Normal
147,5.556727164649491,0.9947762345037886,46,48,Normal
250,9.190459051842454,0.9085355345739342,49,53,Normal
161,4.97121715623175,0.7815661853911257,62,50,Power Factor Issue
136,7.664046402968972,0.9190443905188586,21,48,Normal
198,6.760504021990997,0.8312760038579248,68,46,Power Factor Issue
271,8.636711653626481,0.9215817991715244,28,50,Voltage Fluctuation
203,11.36829739324758,0.7674102870406014,47,46,Overload Fault
134,9.325720972102502,0.7937203592939899,50,49,Power Factor Issue
200,4.149403785907568,0.9639343147264465,79,50,Thermal Overload
274,2.311831350612847,0.8067948892558787,53,48,Voltage Fluctuation
230,4.622640442998251,0.959260281310735,75,47,Thermal Overload
100,7.9507793070025485,0.8198190221136026,34,51,Voltage Fluctuation
104,2.5142581348425033,0.9107204775146769,67,46,Voltage Fluctuation
241,6.963662472012364,0.9235376433774578,44,50,Normal
202,7.968428489168892,0.8781636882862632,55,48,Normal
126,5.342438908169608,0.8263276691741828,27,50,Power Factor Issue
236,9.709122037458219,0.803161094092774,28,48,Power Factor Issue
114,3.065982531337718,0.7582973386406066,77,48,Voltage Fluctuation
189,2.7513778173580876,0.825986600310181,77,48,Power Factor Issue
141,9.281887562036033,0.9132906976328208,56,53,Normal
223,6.954913162061985,0.9845762046121207,67,51,Thermal Overload
278,8.884023964277361,0.9678011205657631,64,47,Voltage Fluctuation
162,6.348273386037462,0.9415161941338257,58,47,Normal
195,4.464020332391068,0.9471118358133247,51,50,Normal
151,10.191023176741997,0.9162462258689988,77,50,Overload Fault
195,9.994158789689791,0.8150717143915007,71,48,Power Factor Issue
231,8.946964708544268,0.9767987576764574,36,53,Normal
250,4.721451372299627,0.9176830779764585,54,48,Normal
242,7.902306668690871,0.89011015774511,56,53,Normal
270,5.609738969400268,0.7777473673033702,38,48,Voltage Fluctuation
128,2.9158207332663415,0.8617638859516064,63,46,Normal
135,11.173135754622429,0.8650895678004815,48,46,Overload Fault
112,3.368186309189614,0.9661409023806675,78,49,Voltage Fluctuation
259,11.502373538208024,0.8866620550469471,26,48,Voltage Fluctuation
170,6.460057729579558,0.8451001372426024,47,51,Power Factor Issue
185,3.8513292883861965,0.9942000821276649,28,49,Normal
127,7.419009473783581,0.777680148331579,47,50,Power Factor Issue
165,10.729458358764083,0.8556371070779861,25,54,Overload Fault
269,9.322248864095613,0.7605061687928514,48,48,Voltage Fluctuation
144,10.065611478614498,0.9349760301917326,77,46,Overload Fault
161,8.587833667107173,0.9795191380497876,36,54,Normal
233,8.922765645178526,0.8200093323876223,35,53,Power Factor Issue
127,10.491956515653193,0.9645854191997802,42,54,Overload Fault
127,4.49668008859186,0.8230545576154744,50,51,Power Factor Issue
207,6.894249636431405,0.9776925404109789,22,48,Normal
143,4.212094418196022,0.938490475899196,40,47,Normal
183,11.87668007996647,0.9512266942103597,45,54,Overload Fault
129,11.440593396866133,0.7545016389001136,55,47,Overload Fault
174,2.394268113685059,0.9907025892685065,61,53,Normal
227,9.055751725156885,0.9316677480175808,56,49,Normal
191,11.252483174156659,0.8261877738465333,72,47,Overload Fault
228,3.8057534512733353,0.9573486662147117,41,49,Normal
220,7.679452305526294,0.8203802996037325,61,46,Power Factor Issue
126,11.154882975880419,0.968188459891532,31,48,Overload Fault
220,2.339459785857988,0.7781450976029842,61,54,Power Factor Issue
215,8.9742026724684,0.925921494365199,32,46,Normal
102,4.973490073725507,0.8851746191612275,30,46,Voltage Fluctuation
202,11.243961953765304,0.7741336175488602,73,52,Overload Fault
254,11.710582451653679,0.8104734570647097,35,45,Voltage Fluctuation
236,11.442664891134338,0.7531010090693286,27,51,Overload Fault
161,6.742142166574638,0.8671919913661265,59,49,Normal
264,10.620426509893134,0.82531631519,78,52,Voltage Fluctuation
150,10.445493985350703,0.8995893710744397,76,45,Overload Fault
271,5.191004732432557,0.8243094519271543,59,51,Voltage Fluctuation
251,10.289154741506774,0.8249797778767461,64,49,Voltage Fluctuation
158,2.370076347154926,0.9357982996829008,78,48,Thermal Overload
217,7.96269878482053,0.7620357089945884,21,51,Power Factor Issue
259,4.30008837287703,0.9757237487979968,49,54,Voltage Fluctuation
195,3.205668857772788,0.9630659685977954,49,46,Normal
279,2.7695320162920916,0.9169511708066016,31,45,Voltage Fluctuation
212,8.962887758781397,0.898305392526846,29,45,Normal
161,5.398749637680662,0.973075624534913,63,45,Normal
151,9.247667715287616,0.7963325448821786,30,49,Power Factor Issue
111,2.6535634079894237,0.7697422905477072,34,54,Voltage Fluctuation
138,5.152903378306103,0.8098775424773845,35,51,Power Factor Issue
229,7.394912923753372,0.9486445696750476,36,46,Normal
230,9.907231648389637,0.7586675666816208,45,54,Power Factor Issue
212,5.1875250293207,0.8957017087708724,21,52,Normal
200,8.25891376437009,0.9988593790478275,69,48,Thermal Overload
212,10.85977748236187,0.9639240234593849,31,47,Overload Fault
180,8.158631881823045,0.8803614222608973,70,54,Thermal Overload
212,4.329594747536338,0.7659102273216606,45,52,Power Factor Issue
101,2.2440078155653804,0.9578433785964274,42,46,Voltage Fluctuation
229,10.700988739009299,0.8997446270443026,37,47,Overload Fault
153,2.2126941085038716,0.7787332492648917,51,47,Power Factor Issue
186,10.747016726841995,0.7734643212058391,68,54,Overload Fault
228,7.28937134027212,0.9774067048591482,57,45,Normal
246,11.390676985128962,0.9173000657345196,76,50,Overload Fault
225,9.987832357736654,0.9573216998291889,66,46,Thermal Overload
229,11.979341105333376,0.9697447250705669,22,45,Overload Fault
152,5.5071181545171015,0.8929430880120806,57,46,Normal
271,9.67188288931127,0.8793615879387603,22,50,Voltage Fluctuation
259,6.019309136092422,0.8576068525802476,49,48,Voltage Fluctuation
259,6.798756203039089,0.8292366469477799,20,50,Voltage Fluctuation
167,8.2750546321837,0.8586489902146779,49,53,Normal
222,10.736771141863388,0.9434699139325391,64,54,Overload Fault
244,11.840834691992951,0.9004808577537828,51,54,Overload Fault
137,9.682734138645182,0.9731308224887115,47,52,Normal
123,6.177667821673338,0.860845003594797,40,45,Normal
168,6.213570022770702,0.9017723946796885,77,52,Thermal Overload
215,9.375823015888916,0.9078268882729972,65,53,Normal
197,4.387771457683023,0.8979242905765814,32,50,Normal
238,3.1047411313139466,0.925658443271379,46,54,Normal
243,5.546221576407765,0.8093583670937016,55,49,Power Factor Issue
196,4.8723899165408175,0.8780909443864476,26,50,Normal
223,4.9630812045599,0.7760562007020869,41,50,Power Factor Issue
169,4.336077510499099,0.8461278319112031,29,53,Power Factor Issue
192,2.420931896363619,0.8719167671553161,58,48,Normal
102,2.178739347334138,0.9130560648863681,72,46,Voltage Fluctuation
247,11.877223897360315,0.9876327631465509,34,53,Overload Fault
263,6.277731337358624,0.9001627666370889,34,46,Voltage Fluctuation
246,5.843266471596817,0.9358984790441399,23,54,Normal
189,8.7964728269307,0.8765665148738007,51,53,Normal
246,4.182538878650641,0.9085260078440829,42,46,Normal
247,11.499611839502254,0.7677330540334434,74,52,Overload Fault
195,9.863450144155522,0.8135978952104618,25,53,Power Factor Issue
151,2.894110023122595,0.8404632733012847,43,54,Power Factor Issue
260,6.175807757849284,0.8681233387516284,39,53,Voltage Fluctuation
267,10.791183075621646,0.7614121863755959,77,54,Voltage Fluctuation
227,11.447320222914103,0.7850060243883294,56,53,Overload Fault
138,6.674015112498697,0.8192035769478264,39,46,Power Factor Issue
181,8.134113892107077,0.9928831727252627,31,48,Normal
203,3.6703394609207525,0.8328367517757627,52,51,Power Factor Issue
228,11.911686261369766,0.8705102645280206,47,46,Overload Fault
110,4.316717013834434,0.7990244281845982,27,45,Voltage Fluctuation
277,11.427317741351256,0.9026950177689421,20,47,Voltage Fluctuation
250,8.496466489923684,0.8201708038789935,56,48,Power Factor Issue
258,8.077367948788591,0.8017481446096066,41,52,Voltage Fluctuation
141,7.126885110165086,0.8791431571114947,25,50,Normal
198,4.306698117177587,0.7513764497901052,40,46,Power Factor Issue
106,3.7652803200550826,0.7519160081623063,51,53,Voltage Fluctuation
243,4.204862090701754,0.8047672022754644,54,46,Power Factor Issue
189,3.8643826214425454,0.7591803406252053,34,49,Power Factor Issue
211,9.795844735667533,0.7770064385326728,24,48,Power Factor Issue
159,5.501252591667301,0.8347151623346879,79,51,Power Factor Issue
212,2.5784267656339637,0.9506464198949532,75,52,Thermal Overload
101,11.691026301408113,0.8930121608423252,65,49,Voltage Fluctuation
228,10.837858849634257,0.8781669314891041,69,54,Overload Fault
147,11.27752283195213,0.8233722058020304,67,49,Overload Fault
239,11.949078226464353,0.9829384298582041,25,46,Overload Fault
136,3.7389524921948727,0.8492537603092979,44,52,Power Factor Issue
259,5.962420189026588,0.7717731916989429,75,46,Voltage Fluctuation
108,9.582384757040913,0.9042666290294503,65,54,Voltage Fluctuation
198,8.960206180537922,0.7784595983691504,78,50,Power Factor Issue
246,3.5389590633985506,0.836305785700423,75,52,Power Factor Issue
147,10.158331249906178,0.8768529846794522,59,50,Overload Fault
230,4.244405718366607,0.968555631171294,48,48,Normal
247,4.238176148226231,0.8733866450850296,26,48,Normal
251,7.3697442289341355,0.9255646915079161,59,50,Voltage Fluctuation
153,7.929399348417031,0.9982042097497676,32,48,Normal
219,7.8008620783781115,0.7828722799744954,57,52,Power Factor Issue
260,2.9148683739775487,0.8186828813798799,37,53,Voltage Fluctuation
251,10.774608626303804,0.8486440188994115,21,45,Voltage Fluctuation
215,4.65600042588706,0.8554570446347078,27,48,Normal
174,3.2951492128280417,0.8527552688163864,30,48,Normal
212,10.887480798689772,0.9769027506391388,52,46,Overload Fault
263,11.556514982297534,0.9285081611167141,73,50,Voltage Fluctuation
265,10.621276172654506,0.901976303522676,57,47,Voltage Fluctuation
203,10.09516074724878,0.8273431794656956,67,51,Overload Fault
183,8.552419806390217,0.9559475960553236,46,49,Normal
211,7.5085737060913935,0.9887651278712473,39,48,Normal
198,2.8698675991141016,0.9552995706375567,31,49,Normal
252,6.084532130706987,0.7503912762978682,62,52,Voltage Fluctuation
192,5.72688517012314,0.9091003425458517,50,47,Normal
245,4.597537837603262,0.7627838453605251,46,51,Power Factor Issue
227,9.234201136885849,0.8144018050834305,51,50,Power Factor Issue
209,6.9587573507877085,0.7648811750869429,29,45,Power Factor Issue
181,2.8104621590764793,0.9009488632373469,22,51,Normal
153,4.201832019498113,0.9216474783731516,64,51,Normal
262,8.83258763659596,0.7786219095164763,46,45,Voltage Fluctuation
268,2.761308594903002,0.8459597207612448,54,53,Voltage Fluctuation
260,10.512069140487688,0.8640591272388856,50,50,Voltage Fluctuation
167,6.951465270139743,0.8422632554402292,34,46,Power Factor Issue
132,6.80586577326648,0.7802562501212983,35,49,Power Factor Issue
241,7.924077846595176,0.8547369475468689,32,48,Normal
120,10.246809659251491,0.9377945119521045,68,51,Overload Fault
147,5.4780920790219305,0.7677519161333138,54,52,Power Factor Issue
247,8.780161525590636,0.7700450035204759,71,45,Power Factor Issue
227,7.657319639957911,0.838692822958996,30,49,Power Factor Issue
235,4.670282701694213,0.9854314279047313,78,47,Thermal Overload
234,10.78629986355158,0.9171431616807285,40,45,Overload Fault
244,9.97426021606928,0.9196674891681412,70,47,Thermal Overload
227,8.584518346584254,0.8404799977094662,73,50,Power Factor Issue
132,10.505817290942419,0.8984151978021346,30,51,Overload Fault
275,10.672942009598025,0.7525327960069359,49,52,Voltage Fluctuation
214,9.083629767150349,0.9090240116023856,79,48,Thermal Overload
218,10.37013328363672,0.9783217368940592,67,47,Overload Fault
121,8.974714616692836,0.9031433670862048,72,49,Thermal Overload
257,8.801407717603004,0.9684246483665863,54,53,Voltage Fluctuation
137,8.186113782151843,0.9309932638665235,41,50,Normal
208,9.527166395576412,0.7801396041009225,57,53,Power Factor Issue
150,3.586051052930737,0.9756133268214604,50,50,Normal
107,10.808707591989284,0.7666109610889438,33,46,Voltage Fluctuation
126,10.71843527745232,0.8834918681369409,43,49,Overload Fault
126,2.2924728303455915,0.7855342809483644,69,53,Power Factor Issue
120,10.258167505647627,0.7529266526827261,68,52,Overload Fault
129,3.288698674734452,0.8555085650319098,51,51,Normal
196,5.351188542591419,0.8237601769135391,55,45,Power Factor Issue
127,9.435082562916078,0.8715001234494008,51,48,Normal
210,3.607598960483082,0.8942999716836377,74,51,Thermal Overload
160,10.179670241190621,0.7609347680772368,34,51,Overload Fault
147,10.32134177957742,0.7807508237809364,62,50,Overload Fault
246,7.074677337608362,0.8896605991126063,77,52,Thermal Overload
103,2.063858717168336,0.8357918382931646,54,50,Voltage Fluctuation
134,4.870381331749128,0.932293371887362,22,54,Normal
148,8.169269183757422,0.9130729121479849,35,47,Normal
116,11.811861780274235,0.9614010907474767,24,48,Voltage Fluctuation
271,8.318135270166684,0.9231232066673063,40,47,Voltage Fluctuation
257,4.598035810641598,0.8574827693475371,29,45,Voltage Fluctuation
145,8.340057030996114,0.9182416555986082,38,54,Normal
216,7.3998537971585545,0.8188452935638546,44,49,Power Factor Issue
105,9.798453951511437,0.8265783746945532,23,45,Voltage Fluctuation
198,3.0698063882695843,0.9472462899801983,48,45,Normal
223,9.61027902502028,0.8616048791003955,38,46,Normal
136,7.412665786761103,0.9495950851295881,62,48,Normal
123,11.629920038589946,0.9556055934170696,21,50,Overload Fault
192,5.418721660386861,0.9643905844153209,29,52,Normal
145,8.326218931339481,0.9791588089603018,62,47,Normal
194,11.320281055100175,0.8577463051283241,44,45,Overload Fault
198,3.0250972799067926,0.8297167045802847,39,47,Power Factor Issue
215,11.372284872364512,0.8955496866485284,67,47,Overload Fault
259,8.878857223008133,0.8427931058594069,38,49,Voltage Fluctuation
260,2.678370591051719,0.9002685417000582,42,48,Voltage Fluctuation
166,5.009635669468162,0.9263964656609561,43,48,Normal
227,9.081720886452816,0.9221012546230343,30,53,Normal
117,2.673506014687717,0.8436382217550303,65,51,Voltage Fluctuation
124,7.8217046017627325,0.7917150504246881,53,48,Power Factor Issue
153,5.458830569529567,0.8576323346155519,74,47,Thermal Overload
157,8.20915517767477,0.7856485360204772,47,50,Power Factor Issue
166,2.4574203381251287,0.9725242587959521,24,47,Normal
203,10.715368061523762,0.8364693651844644,78,50,Overload Fault
273,11.734889691773969,0.788614936805831,24,53,Voltage Fluctuation
123,11.688778552856915,0.7563619399764377,70,50,Overload Fault
213,9.496518317429247,0.9114555965716211,40,48,Normal
131,3.3008624013063197,0.9092255793636859,31,49,Normal
274,9.582631959290225,0.835151041645323,69,50,Voltage Fluctuation
185,2.245869164588015,0.7679279722119128,23,47,Power Factor Issue
250,2.2212355152899725,0.8524072237238081,73,52,Thermal Overload
226,5.236102191495412,0.8278043737658484,68,48,Power Factor Issue
254,6.886431904046658,0.9192801599337523,61,52,Voltage Fluctuation
229,9.704074178077931,0.9014448123631726,39,54,Normal
116,8.832953766065053,0.8411484320493849,57,54,Voltage Fluctuation
203,6.459027063767484,0.8044731385637476,44,47,Power Factor Issue
260,4.736266662816659,0.997008991538898,33,54,Voltage Fluctuation
236,11.971245001577111,0.8635004052990287,30,51,Overload Fault
142,6.261813022359729,0.9220685589450592,51,53,Normal
275,6.513870243296755,0.7851382418945902,30,48,Voltage Fluctuation
138,3.636238211916692,0.8713974249148495,37,52,Normal
269,9.948095487499295,0.7568841799673663,46,47,Voltage Fluctuation
125,8.936822257814885,0.8763637794776125,74,51,Thermal Overload
198,4.207696127887604,0.9910043517794256,73,47,Thermal Overload
149,2.823810456158427,0.84605167824645,37,51,Power Factor Issue
252,8.80499302074713,0.759749003143728,75,54,Voltage Fluctuation
251,8.545112142811352,0.7577389477298359,42,54,Voltage Fluctuation
112,4.7325952699820935,0.8469966899867174,30,50,Voltage Fluctuation
159,11.508635622504103,0.7900062341157985,40,46,Overload Fault
234,3.5105789178090023,0.7558380240820465,63,47,Power Factor Issue
156,6.323348010426019,0.9390534034875442,24,50,Normal
135,11.436159201675988,0.8646307522204727,42,48,Overload Fault
272,6.197273169261223,0.8223111929931637,60,50,Voltage Fluctuation
119,8.385259476640854,0.9750207957541202,78,45,Voltage Fluctuation
164,5.975943979627942,0.7790347400501314,44,54,Power Factor Issue
107,4.7421520234867005,0.9889797072388298,60,45,Voltage Fluctuation
243,11.839776479598282,0.8284916793443382,73,47,Overload Fault
241,6.09334006315043,0.9721009180771703,29,52,Normal
214,10.940992036791345,0.9007357191198654,41,52,Overload Fault
242,4.299546058910861,0.9566768399353719,38,48,Normal
191,4.131047040250833,0.9960032908026161,20,50,Normal
197,2.311340828845114,0.8221013594546864,26,52,Power Factor Issue
165,8.516668253758851,0.9902838713518982,23,51,Normal
131,5.685263437237611,0.8473704737256051,20,51,Power Factor Issue
185,10.64358249839637,0.8463779761842306,34,48,Overload Fault
150,6.732099066915572,0.8350967760636264,59,53,Power Factor Issue
252,11.681934279147217,0.8853519018368963,31,54,Voltage Fluctuation
162,3.8552551570312117,0.7885362607946218,41,50,Power Factor Issue
224,10.686231679556109,0.8884278713395029,41,47,Overload Fault
249,9.765968527917417,0.885426203102501,69,49,Thermal Overload
157,9.70921844644052,0.9404754531512175,66,49,Thermal Overload
157,10.447832281168877,0.9584124904843964,36,49,Overload Fault
185,9.610239909429989,0.8601103375781061,48,52,Normal
148,8.262203216314154,0.8255833123378734,65,53,Power Factor Issue
279,3.3124487768238757,0.8148337243292736,33,53,Voltage Fluctuation
269,2.325261794912519,0.798655959176218,69,50,Voltage Fluctuation
169,11.208478478156868,0.7644118955497562,39,50,Overload Fault
114,8.16650314520738,0.8356119947086783,69,53,Voltage Fluctuation
153,9.965372909761763,0.8175619230326958,67,48,Power Factor Issue
200,6.815223515125501,0.9916043464666018,52,50,Normal
107,3.173081889623945,0.889427206562511,74,48,Voltage Fluctuation
152,3.251857922025504,0.8368192597576269,78,45,Power Factor Issue
159,8.855652872289713,0.895116900248424,62,51,Normal
207,6.303058948994627,0.7847991753364238,34,54,Power Factor Issue
104,4.005247267003368,0.8610109373005508,31,50,Voltage Fluctuation
202,6.915945467414369,0.9065585803552659,59,53,Normal
105,2.642089370751341,0.8722244579481129,73,51,Voltage Fluctuation
208,7.819714019143988,0.8504447001635811,39,51,Normal
215,4.689934044350977,0.9984620972249245,49,46,Normal
193,9.975591006371882,0.9700786905372317,57,53,Normal
146,5.103619589235738,0.90585148953986,22,54,Normal
198,6.552201490818012,0.8923443402955706,47,53,Normal
154,2.1162053990810064,0.905165119956146,75,50,Thermal Overload
267,2.724468877945589,0.8003280269556083,45,47,Voltage Fluctuation
151,5.924935564066848,0.8487844358160797,49,45,Power Factor Issue
243,6.799388347171235,0.7598648832227248,32,48,Power Factor Issue
112,8.000205481193037,0.8688865093717066,32,47,Voltage Fluctuation
213,4.916625787093032,0.8857561459894158,21,45,Normal
223,8.949818861265426,0.8069374340258024,56,47,Power Factor Issue
205,10.601223971892045,0.9910072117913784,68,48,Overload Fault
257,9.798509888933499,0.9773636527343105,57,52,Voltage Fluctuation
246,2.3961882534835715,0.9305358088639765,21,53,Normal
244,6.805069472578289,0.8833466571913406,55,47,Normal
219,3.0493017841817487,0.9674922899119213,73,50,Thermal Overload
162,4.4204501586252745,0.7826630859558658,45,54,Power Factor Issue
118,11.866625932671464,0.9476274485687213,30,49,Voltage Fluctuation
191,3.4249554290151325,0.7812052034917121,27,50,Power Factor Issue
157,6.988881534513561,0.9485526656373513,63,48,Normal
189,8.18155734318119,0.8189418920628393,59,54,Power Factor Issue
216,9.024649705441039,0.9692726452545473,62,50,Normal
161,7.5964868348691414,0.9860105234563494,41,51,Normal
122,2.097708474191837,0.7871989923512789,39,53,Power Factor Issue
226,5.264613082439919,0.8656689012663483,27,54,Normal
236,7.1771164338471145,0.9952468445406712,48,51,Normal
239,2.8786649914483338,0.8708518589932867,59,50,Normal
228,5.506269312091808,0.9658868806286363,45,45,Normal
157,2.3320310879136654,0.8971828805328299,49,46,Normal
221,2.7857849715502074,0.8438324769799005,36,45,Power Factor Issue
100,5.96923276201596,0.8214458888814675,39,53,Voltage Fluctuation
133,3.3271575404306035,0.8008057727715219,71,54,Power Factor Issue
195,7.675408482615581,0.9404495478444244,74,54,Thermal Overload
225,8.894649691372656,0.846635126705757,35,53,Power Factor Issue
217,10.005866991090828,0.8778188655501877,65,51,Overload Fault
147,4.001502442448101,0.8730813700002955,62,46,Normal
188,3.6748258225906976,0.8943197573082828,26,50,Normal
216,3.0456784033440023,0.9663942864061381,35,48,Normal
228,8.364302495436366,0.9951848358958574,64,45,Normal
115,9.064757264869012,0.8518960521434542,78,45,Voltage Fluctuation
168,2.3158614482564204,0.9568797305265757,66,49,Thermal Overload
121,11.362122462436899,0.9411319486636794,75,46,Overload Fault
192,2.5197128365147243,0.8933822378638934,67,48,Thermal Overload
175,7.412963353010705,0.9890117859029832,46,45,Normal
253,9.090605194509164,0.8001186288821007,72,48,Voltage Fluctuation
243,10.709691237460856,0.7773160525774053,42,50,Overload Fault
278,9.140869321324278,0.9634904917388556,43,54,Voltage Fluctuation
185,10.017280830697919,0.859787454158437,28,48,Overload Fault
